I,ID,ID1,LONV,LATV,COG_G,DA,CO_STOCK,DEM,AnalyticalHillshading,Slope,Aspect,CrossSectionalCurvature,LongitudinalCurvature,CovergenceIndex,ClosedDepressions,FlowAccumulation,TopographicWetnessIndex,LSFactor,ChannelNetworkBaseLevel,VerticalDistanceToChannelNetwork,ValleyDepth,RelativeSlopePosition,DEMSRE3a,etmnts3a,evmmod3a,g01igb3a,g02esa3a,g02igb3a,g03esa3a,g04esa3a,g04igb3a,g05esa3a,g06esa3a,g10igb3a,g11esa3a,g11igb3a,g12igb3a,g14esa3a,g15esa3a,g16esa3a,g18esa3a,g19esa3a,g21esa3a,gacgem3a,gachws3a,galhws3a,garhws3a,gcmhws3a,geaisg3a,gflhws3a,gfrhws3a,gglhws3a,ghshws3a,gkshws3a,glcesa3a,glcjrc3a,glphws3a,glvhws3a,glwwwf3a,glxhws3a,gphhws3a,gplhws3a,grghws3a,gsnhws3a,gsthws3a,gumhws3a,gvrhws3a,iflgre3a,inmsre3a,inssre3a,l02igb3a,l04igb3a,l05igb3a,l06igb3a,l07igb3a,l08igb3a,l09igb3a,l10igb3a,l11igb3a,l12igb3a,l13igb3a,l14igb3a,l3pobi3b,lammod3a,lasmod3a,ln1dms3a,ln2dms3a,lnmdms3a,opisre3a,px1wcl3a,px2wcl3a,px3wcl3a,px4wcl3a,SLPSRT3a,smkisr3a,tdhmod3a,tdlmod3a,tdmmod3a,tdsmod3a,tnhmod3a,tnlmod3a,tnmmod3a,tnsmod3a,twisre3a,tx1mod3a,tx2mod3a,tx3mod3a,tx4mod3a,tx5mod3a,tx6mod3a,wmkmod3a,precivs,dem30vs,ndvivs,tempovs,tempevs,acrisolvs,alisolvs,drenajevs,suelostvs,cober1vs,geolovs,arenovs,cambivs,ferravs,fluvivs,gleyvs,histo1vs,histo2vs,leptovs,luvivs,Phaevs
173,24,24,-69.1070,9.4160,14.427,1.35,5.84,138.2777763,2.344970703,1.567651749,2.211153507,8797.808594,5795.550781,4.22060585,-5.27E-06,0.003679263,-6.882356644,7.461491108,137.7574615,0.520309448,232.7316895,0.002230675,138,10449,3632,14,0,14,0,0,14,0,0,14,100,14,14,0,0,0,0,0,0,47,0,0,0,50,72,0,0,25,0,0,110,13,0,0,0,0,25,0,0,0,0,0,0,0,34,20.76018715,0,0,0,0,0,0,0,0,0,0,0,100,4,8,4,-17,-1,4,1569,41,36,229,168,1,1,39,25,32,4,25,20,23,1,136,33,38,36,28,28,31,0,1417,140,5794,27.8409996,271,0,0,50,9,14,111,0,50,0,0,25,0,2.269799948,0,0,25
298,26,26,-67.3280,10.2360,8.127,1.45,3.54,710.9715274,2.178154707,1.570742249,2.987757683,-81050.94531,-10977.57227,-1.912958622,3.03E-05,0.00014196,-14.43237209,3.714942694,494.4796448,216.4919128,1086.487061,0.166151509,691,NA,2987,13,0,13,0,0,13,0,0,13,0,13,13,0,0,0,0,100,0,2,0,0,0,70,72,0,0,0,0,0,190,13,0,30,0,0,0,0,0,0,0,0,0,0,40,20.18151283,0,0,0,0,0,0,0,0,0,0,100,0,5,NA,NA,-263,17,60,1508,39,32,136,134,49,2,39,24,30,3,22,15,19,1,84,30,37,35,29,30,30,0,1017,573,3372,25.0265007,233,0,0,50,8,8,111,0,70,0,0,0,0,0,0,30,0
205,27,27,-69.1000,9.6390,8.075,1.4,3.39,167.9999952,2.342342615,1.567106962,2.517768383,-9716.396484,-24271.34766,1.020767093,4.78E-06,0.001706054,-7.911403179,5.882538319,167.599762,0.400238037,692.0056152,0.00057804,168,13403,4169,14,0,14,25,75,14,0,0,14,0,14,14,0,0,0,0,0,0,17,35,45,0,20,72,0,0,0,0,0,30,17,0,0,0,0,0,0,0,0,0,0,0,0,34,20.82359123,0,0,0,0,0,0,0,0,0,0,0,100,7,30,22,-42,-1,10,1560,46,42,228,166,1,1,41,26,32,4,25,17,22,2,135,30,38,34,27,28,30,0,1445,168,3948,27.6590004,266,35,45,50,7,14,111,0,20,0,0,0,0,0.90170002,0,0,0
262,29,29,-68.8510,10.2380,6.293,1.45,2.74,336.416603,2.346234798,1.57046783,2.497214556,-59913.91016,-97550.05469,-0.97850281,-7.55E-06,0.001009703,-10.66638947,5.499939442,240.0956573,96.32093811,1085.065674,0.081532106,335,13458,4137,13,0,13,0,0,13,100,0,13,0,13,13,0,0,0,0,0,0,15,0,0,0,60,72,0,0,40,0,0,40,18,0,0,0,0,0,0,0,0,0,0,0,0,35,20.86322403,0,0,0,0,0,0,0,0,0,0,100,0,6,15,8,-82,-7,19,1536,55,27,173,130,7,2,37,20,30,4,23,17,20,1,113,31,37,35,29,28,30,0,1164,334,3218,26.57999992,253,0,0,50,7,13,111,0,60,0,0,40,0,0,0,0,0
269,30,30,-68.7530,10.3500,5.305,1.5,2.39,430.1388389,2.335684776,1.570723891,2.152369738,-181199.2031,-808015.9375,0.507872462,-1.44E-05,0.000552282,-12.78157425,4.874738693,151.537323,278.6015015,1085.5979,0.204223439,425,13999,4872,13,0,13,0,50,13,0,0,13,0,13,13,0,0,0,0,50,0,3,0,0,0,35,37,0,0,0,0,0,30,16,40,0,0,0,0,0,0,0,0,25,0,0,37,20.17133522,0,0,0,0,0,0,0,0,0,0,100,0,6,46,21,-260,11,59,1489,87,39,175,143,32,2,29,22,25,2,23,16,20,2,89,25,27,28,26,27,26,0,1335,396,5847,26.17700005,247,0,0,42,7,13,40,0,60,0,0,40,0,0,0,0,0
88,31,31,-68.3130,8.9580,9.255,1.4,3.89,67.61111443,0.909187675,1.564763665,4.976878166,3212.563965,-104155.3906,7.193637848,7.25E-08,0.000121491,-10.27899551,3.320471525,65.57885742,2.03225708,537.7072754,0.003765255,68,13430,4466,9,0,9,0,25,9,0,0,9,0,14,9,75,0,0,0,0,0,100,0,0,0,0,72,0,0,30,0,0,140,18,0,0,0,0,0,0,0,0,0,0,70,0,34,20.69944191,0,0,0,0,0,0,80,0,0,0,0,20,1,40,22,-54,9,12,1563,37,29,231,167,0,1,39,22,29,4,27,17,23,2,134,30,38,33,26,27,28,0,1391,66.02539825,4967,28.3220005,273,0,0,23,7,9,111,0,0,0,0,30,0,0.998099983,0,0,0
158,32,32,-69.7480,8.7350,4.36,1.55,2.03,127.3055542,2.325438261,1.56324017,2.113385916,15108.52637,7895.525879,26.27307701,3.00E-06,7.46E-05,-10.54092693,3.012200117,122.3531723,4.952384949,953.0021973,0.005169749,129,14494,4322,14,0,14,0,50,14,0,0,14,0,14,14,0,0,0,0,0,50,153,0,0,0,50,72,0,0,25,0,0,30,18,0,25,0,0,0,0,0,0,0,0,0,0,34,20.71511078,0,0,0,0,0,0,0,0,0,0,0,100,4,37,22,NA,NA,NA,1570,35,31,226,154,0,1,35,23,28,2,25,13,22,2,131,28,32,32,27,28,29,0,1335,127,7100,27.92550087,276,0,0,21,5,14,111,0,50,0,0,25,0,3.051500082,0,25,0
170,33,33,-69.6570,9.0610,14.257,1.4,5.99,137.3611039,2.103305101,1.565579772,3.12420249,-11696.10156,-6786.85791,-6.984696388,-4.66E-06,0.014543681,-4.540668488,10.77090931,136.7568207,0.604278564,677.5871582,0.000891015,136,13438,4234,14,0,14,25,0,14,25,0,14,0,14,14,50,0,0,0,0,0,12,25,0,0,30,72,0,0,0,0,0,140,18,0,45,0,0,0,0,0,0,0,0,0,0,34,20.74921227,0,0,0,0,0,0,0,0,0,0,0,100,4,16,9,-18,-4,4,1568,48,43,238,172,0,1,42,25,30,5,24,18,22,1,131,31,38,34,27,28,30,0,1511,144,6702,27.81500053,274,25,0,31,7,14,111,0,30,0,0,0,0,1.175999999,0,45,0
174,34,34,-69.7960,8.9070,2.09,1.6,1,140.9444448,2.294338703,1.564530373,2.001748085,-5480.036133,1424.762573,-5.926713467,-2.01E-06,0.003900946,-6.366456032,7.206793308,140.0757141,0.868728638,981.9348145,0.000883929,141,14440,4895,14,0,14,50,50,14,0,0,9,0,14,14,0,0,0,0,0,0,180,25,0,0,30,72,0,0,0,0,0,20,1,0,45,0,0,0,0,0,0,0,0,0,0,34,20.76249695,0,0,0,0,0,0,20,0,0,0,0,80,4,20,10,-21,-3,5,1568,44,38,230,163,0,1,40,24,30,5,25,20,22,1,131,31,37,33,27,28,29,0,1422,139.0021973,5245,27.85400009,274,25,0,21,7,14,111,0,30,0,0,0,0,1.984200001,0,45,0
281,37,37,-67.7740,10.2760,7.56,1.45,3.29,483.1666592,2.348844767,1.570577264,2.235108852,21181.63281,-542836.25,0.968599141,-2.67E-06,0.000208139,-12.83898926,3.862253428,305.8554688,177.3111877,1128.133789,0.135824323,496,13170,3658,8,0,8,0,0,9,0,0,14,75,9,9,25,0,0,0,0,0,8,0,0,0,70,37,0,0,0,0,0,110,14,0,30,0,0,0,0,0,0,0,0,0,0,35,21.18538284,0,0,0,0,0,40,40,0,0,0,0,20,6,19,8,-183,10,41,1525,30,13,146,150,12,1,40,23,30,4,23,18,21,1,108,32,37,36,29,30,30,0,995,452,4663,25.81299973,240,0,0,50,5,14,111,0,70,0,0,0,0,0,0,30,0
