I,ID,ID1,LONV,LATV,COG_G,DA,CO_STOCK,DEM,AnalyticalHillshading,Slope,Aspect,CrossSectionalCurvature,LongitudinalCurvature,CovergenceIndex,ClosedDepressions,FlowAccumulation,TopographicWetnessIndex,LSFactor,ChannelNetworkBaseLevel,VerticalDistanceToChannelNetwork,ValleyDepth,RelativeSlopePosition,DEMSRE3a,etmnts3a,evmmod3a,g01igb3a,g02esa3a,g02igb3a,g03esa3a,g04esa3a,g04igb3a,g05esa3a,g06esa3a,g10igb3a,g11esa3a,g11igb3a,g12igb3a,g14esa3a,g15esa3a,g16esa3a,g18esa3a,g19esa3a,g21esa3a,gacgem3a,gachws3a,galhws3a,garhws3a,gcmhws3a,geaisg3a,gflhws3a,gfrhws3a,gglhws3a,ghshws3a,gkshws3a,glcesa3a,glcjrc3a,glphws3a,glvhws3a,glwwwf3a,glxhws3a,gphhws3a,gplhws3a,grghws3a,gsnhws3a,gsthws3a,gumhws3a,gvrhws3a,iflgre3a,inmsre3a,inssre3a,l02igb3a,l04igb3a,l05igb3a,l06igb3a,l07igb3a,l08igb3a,l09igb3a,l10igb3a,l11igb3a,l12igb3a,l13igb3a,l14igb3a,l3pobi3b,lammod3a,lasmod3a,ln1dms3a,ln2dms3a,lnmdms3a,opisre3a,px1wcl3a,px2wcl3a,px3wcl3a,px4wcl3a,SLPSRT3a,smkisr3a,tdhmod3a,tdlmod3a,tdmmod3a,tdsmod3a,tnhmod3a,tnlmod3a,tnmmod3a,tnsmod3a,twisre3a,tx1mod3a,tx2mod3a,tx3mod3a,tx4mod3a,tx5mod3a,tx6mod3a,wmkmod3a,precivs,dem30vs,ndvivs,tempovs,tempevs,acrisolvs,alisolvs,drenajevs,suelostvs,cober1vs,geolovs,arenovs,cambivs,ferravs,fluvivs,gleyvs,histo1vs,histo2vs,leptovs,luvivs,Phaevs
9,304,301,-71.962,11.347,6.59,1.35,2.67,3.027780254,1.969530344,1.563714504,1.368771553,-178.0146484,-2539.511963,-0.827046573,4.06E-08,8.86E-05,-10.21728611,3.255578756,-0.067177474,3.094957829,720.8820801,0.004274939,3,8402,2334,10,0,7,25,75,7,0,0,12,0,12,12,0,0,0,0,0,0,83,0,0,0,0,72,60,0,0,0,0,30,14,0,0,0,0,0,0,0,0,0,0,40,0,33,20.67418671,0,0,0,0,40,0,0,20,0,40,0,0,7,6,2,-96,2,22,1570,67,7,35,109,0,1,38,21,31,4,28,11,23,3,136,31,34,33,34,37,31,0,650,3,2471,28.73150063,283,0,0,10,6,12,111,0,0,0,60,0,0,0.877300024,0,0,0
151,307,304,-72.162,10.517,5.745,1.4,2.41,111.8055545,2.216604471,1.569640398,1.804094315,32863.20703,24102.00391,10.67240906,2.78E-06,0.000123977,-11.50557518,3.61565423,57.92068481,53.88487244,733.5424805,0.068431549,113,9746,4865,9,0,9,0,50,9,50,0,14,0,9,9,0,0,0,0,0,0,60,0,0,0,0,80,0,0,0,0,0,40,13,0,100,0,0,0,0,0,0,0,0,0,0,34,20.72213554,0,0,0,0,0,0,80,0,0,0,0,20,7,14,8,-8,NA,2,1569,55,43,126,142,2,1,35,25,30,3,25,15,22,2,132,30,37,29,30,32,28,0,1095,116,5596,27.99699974,273,0,0,31,5,9,109,0,0,0,0,0,0,0,0,100,0
215,25,25,-69.198,9.547,7.997,1.4,3.36,183.2500023,2.234902859,1.569498301,1.844637394,1585.126343,-47819.55078,0.103498511,-2.25E-06,0.003022027,-8.196045876,6.848230362,183.25,0,415.6437988,0,182,NA,3291,13,0,13,0,0,13,0,0,13,0,13,13,0,0,0,0,100,0,2,25,0,0,30,72,0,0,0,0,0,190,22,0,45,0,0,0,0,0,0,0,0,0,0,34,20.84542274,0,0,0,0,0,0,0,0,0,0,100,0,7,NA,NA,-269,15,61,1567,43,41,221,172,2,2,39,35,36,1,26,19,23,1,132,36,37,31,22,31,36,0,1436,188,2073,27.52899933,266,25,0,31,7,13,111,0,30,0,0,0,0,0,0,45,0
210,35,35,-69.863,8.915,2.073,1.6,1,174.8055536,2.303431749,1.570343852,2.026012421,51639.08984,24056.27148,2.061557055,3.62E-06,0.000243383,-11.76896,4.137874126,160.1854553,14.62010193,1086.895508,0.013272714,174,13435,4315,9,0,14,0,0,14,100,0,14,0,14,14,0,0,0,0,0,0,21,25,0,0,30,80,0,0,0,0,0,40,1,0,45,0,0,0,0,0,0,0,0,0,0,34,20.79966736,0,0,0,0,0,0,20,0,0,0,0,80,7,17,9,-14,-7,3,1558,46,41,235,170,5,1,43,21,30,5,25,15,22,2,121,32,38,33,27,29,29,0,1477,181,4737,27.57449913,270,25,0,31,7,14,111,0,30,0,0,0,0,0,0,45,0
92,109,108,-66.356,10.264,7.66,1.4,3.22,67.83330233,1.195861936,1.568715692,4.470778465,-15150.39648,4557.598145,-9.369589806,3.03E-06,0.000221256,-9.992004395,4.351109982,63.47867203,4.354633331,1138.830322,0.003809212,67,14399,4751,8,0,8,25,25,9,50,0,8,0,8,8,0,0,0,0,0,0,28,0,0,0,70,80,0,0,0,0,0,40,17,0,30,0,0,0,0,0,0,0,0,0,0,33,20.85552025,0,0,0,0,0,80,20,0,0,0,0,0,7,35,21,-75,-8,17,1556,210,74,257,199,2,1,33,20,26,3,24,13,20,2,122,24,27,30,26,28,26,0,2201,68,8429,28.30900002,273,0,0,50,5,2,111,0,70,0,0,0,0,0.949199975,0,30,0
224,125,124,-66.795,10.16,5.008,1.45,2.18,217.7776946,1.814138293,1.57008028,3.579084635,22741.69922,-29202.09961,5.002509117,7.39E-08,0.00505411,-7.048679829,9.703001022,215.0484161,2.729278564,1205.376953,0.002259138,213,11670,3755,14,0,14,50,0,14,25,0,14,0,14,14,25,0,0,0,0,0,8,0,0,0,0,80,0,0,0,0,0,20,13,0,0,0,0,0,0,100,0,0,0,0,0,34,20.86335945,0,0,0,0,0,0,0,0,0,0,0,100,6,13,8,-183,-3,41,1549,55,21,169,106,3,1,40,23,30,4,25,19,21,1,120,28,35,36,30,31,31,0,1053,202.0021973,6190,27.43799973,258,0,0,42,5,13,94,0,0,0,0,0,0,0,0,0,0
22,145,144,-68.338,10.778,6.073,1.45,2.64,5.75000788,1.952481508,1.566662312,1.341414809,-8125.115723,-15840.95508,-2.324242592,2.27E-07,0.001501051,-7.737398148,5.953789234,4.636398792,1.113609314,1026.249756,0.001083949,6,13667,3764,13,0,13,0,50,13,0,0,13,0,13,13,50,0,0,0,0,0,71,0,0,0,60,72,0,0,40,0,0,30,20,0,0,6,0,0,0,0,0,0,0,0,0,33,20.69725037,0,0,0,0,0,0,0,0,0,0,100,0,7,16,5,-219,5,49,1567,154,46,75,101,1,2,35,21,27,3,26,19,22,2,135,26,29,28,30,31,26,0,1130,8,6002,28.6989994,270,0,0,22,7,13,111,0,60,0,0,40,0,3.194499969,0,0,0
272,214,212,-62.622,5.467,7.972,1.5,3.59,422.3611296,2.350902796,1.570159197,2.254696846,-83222.92188,-616890.9375,3.504805565,-1.51E-05,0.000583382,-10.55251408,4.928441525,422.1358337,0.225280762,1335.296631,0.000168684,422,11639,2338,10,0,10,0,0,10,0,0,10,0,10,10,0,0,0,100,0,0,506,55,0,0,0,53,0,0,0,0,0,180,13,45,0,0,0,0,0,0,0,0,0,0,0,35,21.08260918,0,0,0,0,0,0,0,100,0,0,0,0,6,8,2,2,NA,NA,1528,160,109,534,419,4,1,35,26,31,2,23,13,21,2,120,31,35,31,29,30,32,0,3665,412,4185,26.07299995,255,55,0,41,2,10,103,0,0,0,0,0,0,0.96509999,45,0,0
39,242,239,-62.752,9.747,13.012,1.35,5.27,15.02776679,1.218039393,1.56625104,4.436163902,5827.206543,-4974.66748,11.73636055,3.96E-07,0.00011934,-10.43137836,3.408461094,12.81898022,2.208786964,562.6762695,0.003910153,15,14948,5618,11,0,11,0,0,2,100,0,2,0,2,2,0,0,0,0,0,0,687,0,0,0,30,72,0,0,70,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,33,20.68053055,60,0,0,0,0,0,0,0,40,0,0,0,1,46,19,2,NA,NA,1569,123,40,195,175,1,1,28,20,25,2,24,16,21,1,132,24,25,26,24,26,24,0,1600,11,8862,28.67950058,267,0,0,22,4,2,111,0,30,0,0,70,0,14.84329987,0,0,0
72,272,269,-67.572,7.517,9.233,1.45,4.02,46.24999979,2.334140062,1.548119307,2.173678398,387.9321289,164.2407074,0.590537012,2.10E-07,0.02372608,-3.042653561,10.82869816,46.25,0,281.7717285,0,46,9972,3618,12,0,8,0,0,8,0,0,8,0,8,8,0,0,100,0,0,0,203,0,0,0,0,72,0,0,0,0,0,160,7,0,30,5,0,0,0,0,0,45,0,25,0,34,20.67318153,0,0,0,0,0,80,0,0,0,20,0,0,1,12,6,2,NA,NA,1570,24,28,288,261,0,1,33,23,28,2,28,19,23,3,140,28,34,32,27,27,28,0,1802,47.05390167,4596,28.45849991,275,0,0,23,5,8,111,0,0,0,0,0,0,3.012799978,0,30,0
